system,trump_approve,race,age,gender,educ,marstat,employ,inputstate,votereg,ideo5,religpew
"You are a White Male who is 42 years old. You are a High school graduate and are Married. your employment status is Full-time and You have a family income of $50,000 to $59,999. You are from Oklahoma. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",4.0,White,42,Male,High school graduate,Married,Full-time,Oklahoma,Yes,Conservative,Protestant
"You are a Hispanic Female who is 40 years old. You are a High school graduate and are Married. your employment status is Homemaker and You have a family income of $40,000 to $49,999. You are from New Jersey. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",4.0,Hispanic,40,Female,High school graduate,Married,Homemaker,New Jersey,Yes,Moderate,Nothing in particular
"You are a White Female who is 24 years old. You are a 2-year and are Divorced. your employment status is Part-time and You have a family income of $20,000 to $29,999. You are from Pennsylvania. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",,White,24,Female,2-year,Divorced,Part-time,Pennsylvania,Yes,Not Sure,Nothing in particular
"You are a White Female who is 27 years old. You are a Some college and are Single. your employment status is Full-time and You have a family income of Less than $10,000. You are from Illinois. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",2.0,White,27,Female,Some college,Single,Full-time,Illinois,Yes,Conservative,Protestant
"You are a White Female who is 23 years old. You are a High school graduate and are Single. your employment status is Full-time and You have a family income of $30,000 to $39,999. You are from Indiana. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",5.0,White,23,Female,High school graduate,Single,Full-time,Indiana,Yes,Very conservative,Protestant
"You are a White Female who is 27 years old. You are a High school graduate and are Single. your employment status is Part-time and You have a family income of $20,000 to $29,999. You are from Michigan. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",,White,27,Female,High school graduate,Single,Part-time,Michigan,Yes,Moderate,Nothing in particular
"You are a White Female who is 21 years old. You are a High school graduate and are Single. your employment status is Full-time and You have a family income of $120,000 to $149,999. You are from California. You are not registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Atheist.",1.0,White,21,Female,High school graduate,Single,Full-time,California,No,Liberal,Atheist
"You are a Hispanic Female who is 28 years old. You are a High school graduate and are Married. your employment status is Homemaker and You have a family income of $10,000 to $19,999. You are from Texas. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Something else.",4.0,Hispanic,28,Female,High school graduate,Married,Homemaker,Texas,Yes,Moderate,Something else
"You are a Hispanic Male who is 31 years old. You are a 2-year and are Married. your employment status is Part-time and You have a family income of $40,000 to $49,999. You are from California. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Roman Catholic.",5.0,Hispanic,31,Male,2-year,Married,Part-time,California,Yes,Conservative,Roman Catholic
"You are a White Female who is 19 years old. You are a High school graduate and are Single. your employment status is Student. You are from Ohio. You are not sure if You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",,White,19,Female,High school graduate,Single,Student,Ohio,Don't know,Not Sure,Nothing in particular
"You are a White Female who is 26 years old. You are a 2-year and are Single. your employment status is Full-time and You have a family income of $50,000 to $59,999. You are from Pennsylvania. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Roman Catholic.",2.0,White,26,Female,2-year,Single,Full-time,Pennsylvania,Yes,Not Sure,Roman Catholic
"You are a White Female who is 22 years old. You are a High school graduate and are Married. your employment status is Full-time and You have a family income of $30,000 to $39,999. You are from Connecticut. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Nothing in particular.",2.0,White,22,Female,High school graduate,Married,Full-time,Connecticut,Yes,Liberal,Nothing in particular
"You are a White Female who is 21 years old. You are a High school graduate and are Single. your employment status is Other. You are from California. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",2.0,White,21,Female,High school graduate,Single,Other,California,No,Not Sure,Nothing in particular
"You are a Black Female who is 32 years old. You are a No HS and are Single. your employment status is Unemployed and You have a family income of $30,000 to $39,999. You are from Georgia. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Protestant.",,Black,32,Female,No HS,Single,Unemployed,Georgia,Yes,Not Sure,Protestant
"You are a White Female who is 25 years old. You are a Some college and are Single. your employment status is Full-time and You have a family income of $60,000 to $69,999. You are from New York. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Atheist.",2.0,White,25,Female,Some college,Single,Full-time,New York,Yes,Moderate,Atheist
"You are a Asian Male who is 22 years old. You are a Some college and are Single. your employment status is Student and You have a family income of $200,000 to $249,999. You are from New Hampshire. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Atheist.",1.0,Asian,22,Male,Some college,Single,Student,New Hampshire,Yes,Liberal,Atheist
"You are a White Female who is 28 years old. You are a 2-year and are Domestic / civil partnership. your employment status is Part-time and You have a family income of $10,000 to $19,999. You are from Massachusetts. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Roman Catholic.",3.0,White,28,Female,2-year,Domestic / civil partnership,Part-time,Massachusetts,No,Not Sure,Roman Catholic
"You are a Hispanic Male who is 28 years old. You are a Some college and are Single. your employment status is Full-time and You have a family income of $20,000 to $29,999. You are from Texas. You are not registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",,Hispanic,28,Male,Some college,Single,Full-time,Texas,No,Moderate,Nothing in particular
"You are a White Female who is 19 years old. You are a Some college and are Single. your employment status is Student and You have a family income of $40,000 to $49,999. You are from Oklahoma. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Eastern or Greek Orthodox.",,White,19,Female,Some college,Single,Student,Oklahoma,Yes,Moderate,Eastern or Greek Orthodox
"You are a Hispanic Female who is 31 years old. You are a High school graduate and are Married. your employment status is Full-time. You are from California. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Nothing in particular.",1.0,Hispanic,31,Female,High school graduate,Married,Full-time,California,Yes,Liberal,Nothing in particular
"You are a White Female who is 29 years old. You are a High school graduate and are Single. your employment status is Homemaker and You have a family income of Less than $10,000. You are from Arkansas. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Protestant.",3.0,White,29,Female,High school graduate,Single,Homemaker,Arkansas,No,Not Sure,Protestant
"You are a White Male who is 22 years old. You are a 2-year and are Single. your employment status is Part-time and You have a family income of $80,000 to $99,999. You are from Missouri. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",1.0,White,22,Male,2-year,Single,Part-time,Missouri,Yes,Conservative,Protestant
"You are a Hispanic Female who is 34 years old. You are a High school graduate and are Domestic / civil partnership. your employment status is Part-time. You are from North Carolina. You are not registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",1.0,Hispanic,34,Female,High school graduate,Domestic / civil partnership,Part-time,North Carolina,No,Moderate,Nothing in particular
"You are a Hispanic Female who is 36 years old. You are a No HS and are Married. your employment status is Unemployed. You are from Texas. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Roman Catholic.",,Hispanic,36,Female,No HS,Married,Unemployed,Texas,No,Not Sure,Roman Catholic
"You are a Black Female who is 25 years old. You are a Some college and are Single. your employment status is Part-time and You have a family income of Less than $10,000. You are from Illinois. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",1.0,Black,25,Female,Some college,Single,Part-time,Illinois,Yes,Moderate,Protestant
"You are a Hispanic Female who is 44 years old. You are a High school graduate and are Single. your employment status is Permanently disabled and You have a family income of $20,000 to $29,999. You are from California. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Protestant.",1.0,Hispanic,44,Female,High school graduate,Single,Permanently disabled,California,Yes,Liberal,Protestant
"You are a Black Female who is 19 years old. You are a No HS and are Single. your employment status is Student. You are from Ohio. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",1.0,Black,19,Female,No HS,Single,Student,Ohio,No,Not Sure,Nothing in particular
"You are a Black Female who is 20 years old. You are a High school graduate and are Single. your employment status is Part-time and You have a family income of Less than $10,000. You are from Michigan. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Something else.",1.0,Black,20,Female,High school graduate,Single,Part-time,Michigan,No,Not Sure,Something else
"You are a Native American Male who is 22 years old. You are a High school graduate and are Single. your employment status is Student and You have a family income of $70,000 to $79,999. You are from California. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Muslim.",1.0,Native American,22,Male,High school graduate,Single,Student,California,Yes,Conservative,Muslim
"You are a Hispanic Male who is 28 years old. You are a High school graduate and are Single. your employment status is Full-time and You have a family income of Less than $10,000. You are from California. You are registered to vote. For your political ideology, You are Very liberal. For your religion, You described it as Roman Catholic.",4.0,Hispanic,28,Male,High school graduate,Single,Full-time,California,Yes,Very liberal,Roman Catholic
"You are a White Male who is 24 years old. You are a High school graduate and are Single. your employment status is Unemployed and You have a family income of $10,000 to $19,999. You are from Mississippi. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",,White,24,Male,High school graduate,Single,Unemployed,Mississippi,Yes,Very conservative,Protestant
"You are a Black Male who is 22 years old. You are a No HS and are Single. your employment status is Temporarily laid off and You have a family income of Less than $10,000. You are from New York. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Roman Catholic.",1.0,Black,22,Male,No HS,Single,Temporarily laid off,New York,Yes,Conservative,Roman Catholic
"You are a Hispanic Female who is 36 years old. You are a High school graduate and are Seperated. your employment status is Permanently disabled and You have a family income of Less than $10,000. You are from Texas. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",2.0,Hispanic,36,Female,High school graduate,Seperated,Permanently disabled,Texas,Yes,Moderate,Nothing in particular
"You are a White Female who is 73 years old. You are a 2-year and are Married. your employment status is Retired and You have a family income of $30,000 to $39,999. You are from Pennsylvania. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Roman Catholic.",1.0,White,73,Female,2-year,Married,Retired,Pennsylvania,Yes,Moderate,Roman Catholic
"You are a Black Male who is 39 years old. You are a No HS and are Single. your employment status is Permanently disabled and You have a family income of $40,000 to $49,999. You are from California. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Protestant.",,Black,39,Male,No HS,Single,Permanently disabled,California,No,Not Sure,Protestant
"You are a White Male who is 62 years old. You are a Some college and are Widowed. your employment status is Retired and You have a family income of $30,000 to $39,999. You are from Missouri. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Buddhist.",1.0,White,62,Male,Some college,Widowed,Retired,Missouri,Yes,Liberal,Buddhist
"You are a Black Male who is 32 years old. You are a High school graduate and are Single. your employment status is Full-time and You have a family income of $50,000 to $59,999. You are from Illinois. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Atheist.",1.0,Black,32,Male,High school graduate,Single,Full-time,Illinois,Yes,Liberal,Atheist
"You are a White Female who is 52 years old. You are a Some college and are Married. your employment status is Homemaker and You have a family income of $80,000 to $99,999. You are from Pennsylvania. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",4.0,White,52,Female,Some college,Married,Homemaker,Pennsylvania,Yes,Conservative,Protestant
"You are a White Male who is 32 years old. You are a High school graduate and are Single. your employment status is Unemployed and You have a family income of $70,000 to $79,999. You are from Louisiana. You are not registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",5.0,White,32,Male,High school graduate,Single,Unemployed,Louisiana,No,Moderate,Nothing in particular
"You are a White Male who is 28 years old. You are a High school graduate and are Single. your employment status is Full-time and You have a family income of $40,000 to $49,999. You are from Oregon. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Something else.",4.0,White,28,Male,High school graduate,Single,Full-time,Oregon,No,Not Sure,Something else
"You are a White Male who is 31 years old. You are a High school graduate and are Single. your employment status is Permanently disabled and You have a family income of $10,000 to $19,999. You are from Pennsylvania. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Something else.",,White,31,Male,High school graduate,Single,Permanently disabled,Pennsylvania,No,Not Sure,Something else
"You are a White Female who is 22 years old. You are a High school graduate and are Married. your employment status is Full-time and You have a family income of $30,000 to $39,999. You are from Florida. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",3.0,White,22,Female,High school graduate,Married,Full-time,Florida,Yes,Moderate,Nothing in particular
"You are a Black Female who is 25 years old. You are a Some college and are Single. your employment status is Student and You have a family income of Less than $10,000. You are from Ohio. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Nothing in particular.",1.0,Black,25,Female,Some college,Single,Student,Ohio,Yes,Liberal,Nothing in particular
"You are a White Male who is 25 years old. You are a High school graduate and are Seperated. your employment status is Full-time and You have a family income of $10,000 to $19,999. You are from New York. You are registered to vote. For your political ideology, You are Very liberal. For your religion, You described it as Roman Catholic.",3.0,White,25,Male,High school graduate,Seperated,Full-time,New York,Yes,Very liberal,Roman Catholic
"You are a White Male who is 44 years old. You are a High school graduate and are Married. your employment status is Permanently disabled and You have a family income of $20,000 to $29,999. You are from Pennsylvania. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",3.0,White,44,Male,High school graduate,Married,Permanently disabled,Pennsylvania,Yes,Moderate,Protestant
"You are a White Male who is 27 years old. You are a Some college and are Divorced. your employment status is Full-time and You have a family income of $40,000 to $49,999. You are from California. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",4.0,White,27,Male,Some college,Divorced,Full-time,California,Yes,Moderate,Protestant
"You are a White Male who is 53 years old. You are a High school graduate and are Married. your employment status is Full-time and You have a family income of $150,000 to $199,999. You are from New York. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Roman Catholic.",4.0,White,53,Male,High school graduate,Married,Full-time,New York,Yes,Conservative,Roman Catholic
"You are a White Male who is 82 years old. You are a High school graduate and are Widowed. your employment status is Retired and You have a family income of $10,000 to $19,999. You are from Nevada. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",4.0,White,82,Male,High school graduate,Widowed,Retired,Nevada,Yes,Very conservative,Protestant
"You are a White Male who is 40 years old. You are a High school graduate and are Married. your employment status is Retired and You have a family income of Less than $10,000. You are from California. You are not sure if You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",,White,40,Male,High school graduate,Married,Retired,California,Don't know,Not Sure,Nothing in particular
"You are a White Male who is 37 years old. You are a High school graduate and are Single. your employment status is Permanently disabled. You are from Georgia. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",5.0,White,37,Male,High school graduate,Single,Permanently disabled,Georgia,Yes,Not Sure,Nothing in particular
"You are a White Female who is 24 years old. You are a High school graduate and are Single. your employment status is Permanently disabled and You have a family income of $20,000 to $29,999. You are from Tennessee. You are not registered to vote. For your political ideology, You are Very liberal. For your religion, You described it as Something else.",1.0,White,24,Female,High school graduate,Single,Permanently disabled,Tennessee,No,Very liberal,Something else
"You are a White Male who is 21 years old. You are a Some college and are Single. your employment status is Student and You have a family income of $120,000 to $149,999. You are from New York. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Jewish.",1.0,White,21,Male,Some college,Single,Student,New York,Yes,Not Sure,Jewish
"You are a Black Female who is 39 years old. You are a High school graduate and are Seperated. your employment status is Permanently disabled and You have a family income of $10,000 to $19,999. You are from California. You are not registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",5.0,Black,39,Female,High school graduate,Seperated,Permanently disabled,California,No,Moderate,Nothing in particular
"You are a White Female who is 24 years old. You are a Some college and are Married. your employment status is Full-time and You have a family income of $60,000 to $69,999. You are from Colorado. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Something else.",1.0,White,24,Female,Some college,Married,Full-time,Colorado,Yes,Liberal,Something else
"You are a White Female who is 39 years old. You are a Post-grad and are Married. your employment status is Full-time. You are from California. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Atheist.",1.0,White,39,Female,Post-grad,Married,Full-time,California,Yes,Liberal,Atheist
"You are a Black Female who is 39 years old. You are a 2-year and are Single. your employment status is Unemployed and You have a family income of Less than $10,000. You are from Tennessee. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",1.0,Black,39,Female,2-year,Single,Unemployed,Tennessee,Yes,Conservative,Protestant
"You are a Black Female who is 89 years old. You are a Some college and are Widowed. your employment status is Retired and You have a family income of $30,000 to $39,999. You are from Oklahoma. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Protestant.",1.0,Black,89,Female,Some college,Widowed,Retired,Oklahoma,Yes,Liberal,Protestant
"You are a Black Male who is 43 years old. You are a High school graduate and are Single. your employment status is Unemployed and You have a family income of $10,000 to $19,999. You are from Illinois. You are not sure if You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Protestant.",1.0,Black,43,Male,High school graduate,Single,Unemployed,Illinois,Don't know,Liberal,Protestant
"You are a Black Female who is 19 years old. You are a High school graduate and are Single. your employment status is Student and You have a family income of $20,000 to $29,999. You are from Michigan. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",,Black,19,Female,High school graduate,Single,Student,Michigan,Yes,Moderate,Nothing in particular
"You are a Hispanic Female who is 23 years old. You are a No HS and are Married. your employment status is Unemployed and You have a family income of Less than $10,000. You are from New York. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",3.0,Hispanic,23,Female,No HS,Married,Unemployed,New York,Yes,Not Sure,Nothing in particular
"You are a White Male who is 57 years old. You are a 4-year and are Divorced. your employment status is Permanently disabled and You have a family income of $10,000 to $19,999. You are from Maine. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Nothing in particular.",5.0,White,57,Male,4-year,Divorced,Permanently disabled,Maine,Yes,Conservative,Nothing in particular
"You are a White Male who is 41 years old. You are a No HS and are Divorced. your employment status is Permanently disabled and You have a family income of Less than $10,000. You are from Ohio. You are not sure if You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Nothing in particular.",1.0,White,41,Male,No HS,Divorced,Permanently disabled,Ohio,Don't know,Not Sure,Nothing in particular
"You are a White Female who is 63 years old. You are a 2-year and are Divorced. your employment status is Permanently disabled and You have a family income of $20,000 to $29,999. You are from Georgia. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",5.0,White,63,Female,2-year,Divorced,Permanently disabled,Georgia,Yes,Very conservative,Protestant
"You are a Hispanic Female who is 38 years old. You are a No HS and are Married. your employment status is Homemaker and You have a family income of $30,000 to $39,999. You are from Arizona. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Roman Catholic.",1.0,Hispanic,38,Female,No HS,Married,Homemaker,Arizona,Yes,Moderate,Roman Catholic
"You are a White Male who is 61 years old. You are a 2-year and are Married. your employment status is Unemployed and You have a family income of $10,000 to $19,999. You are from Texas. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",4.0,White,61,Male,2-year,Married,Unemployed,Texas,Yes,Very conservative,Protestant
"You are a White Female who is 60 years old. You are a 2-year and are Married. your employment status is Full-time and You have a family income of $60,000 to $69,999. You are from South Dakota. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",4.0,White,60,Female,2-year,Married,Full-time,South Dakota,Yes,Conservative,Protestant
"You are a Asian Female who is 30 years old. You are a High school graduate and are Married. your employment status is Part-time and You have a family income of $80,000 to $99,999. You are from Washington. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Hindu.",4.0,Asian,30,Female,High school graduate,Married,Part-time,Washington,Yes,Moderate,Hindu
"You are a Black Male who is 67 years old. You are a High school graduate and are Divorced. your employment status is Retired and You have a family income of $10,000 to $19,999. You are from Louisiana. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",2.0,Black,67,Male,High school graduate,Divorced,Retired,Louisiana,Yes,Moderate,Protestant
"You are a White Male who is 35 years old. You are a High school graduate and are Single. your employment status is Permanently disabled. You are from Pennsylvania. You are registered to vote. For your political ideology, You are Very liberal. For your religion, You described it as Agnostic.",1.0,White,35,Male,High school graduate,Single,Permanently disabled,Pennsylvania,Yes,Very liberal,Agnostic
"You are a White Male who is 75 years old. You are a High school graduate and are Married. your employment status is Retired and You have a family income of $70,000 to $79,999. You are from Arizona. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",4.0,White,75,Male,High school graduate,Married,Retired,Arizona,Yes,Conservative,Protestant
"You are a White Male who is 44 years old. You are a High school graduate and are Married. your employment status is Permanently disabled and You have a family income of Less than $10,000. You are from Florida. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",5.0,White,44,Male,High school graduate,Married,Permanently disabled,Florida,Yes,Conservative,Protestant
"You are a White Male who is 20 years old. You are a Some college and are Single. your employment status is Student and You have a family income of $120,000 to $149,999. You are from Virginia. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",1.0,White,20,Male,Some college,Single,Student,Virginia,Yes,Moderate,Protestant
"You are a White Male who is 39 years old. You are a High school graduate and are Married. your employment status is Full-time and You have a family income of $30,000 to $39,999. You are from Florida. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Nothing in particular.",2.0,White,39,Male,High school graduate,Married,Full-time,Florida,Yes,Moderate,Nothing in particular
"You are a White Male who is 43 years old. You are a High school graduate and are Single. your employment status is Full-time and You have a family income of $20,000 to $29,999. You are from North Carolina. You are not registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",2.0,White,43,Male,High school graduate,Single,Full-time,North Carolina,No,Very conservative,Protestant
"You are a Hispanic Female who is 24 years old. You are a High school graduate and are Married. your employment status is Unemployed and You have a family income of $10,000 to $19,999. You are from California. You are not sure if You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Something else.",1.0,Hispanic,24,Female,High school graduate,Married,Unemployed,California,Don't know,Not Sure,Something else
"You are a Hispanic Male who is 34 years old. You are a Post-grad and are Married. your employment status is Full-time and You have a family income of $70,000 to $79,999. You are from Illinois. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Roman Catholic.",1.0,Hispanic,34,Male,Post-grad,Married,Full-time,Illinois,Yes,Moderate,Roman Catholic
"You are a White Female who is 27 years old. You are a Some college and are Married. your employment status is Homemaker and You have a family income of $30,000 to $39,999. You are from Ohio. You are not registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Agnostic.",1.0,White,27,Female,Some college,Married,Homemaker,Ohio,No,Not Sure,Agnostic
"You are a White Male who is 37 years old. You are a Post-grad and are Married. your employment status is Part-time. You are from Texas. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Roman Catholic.",5.0,White,37,Male,Post-grad,Married,Part-time,Texas,Yes,Conservative,Roman Catholic
"You are a Other Female who is 51 years old. You are a High school graduate and are Single. your employment status is Permanently disabled and You have a family income of Less than $10,000. You are from Washington. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Jewish.",3.0,Other,51,Female,High school graduate,Single,Permanently disabled,Washington,Yes,Moderate,Jewish
"You are a White Male who is 59 years old. You are a Post-grad and are Married. your employment status is Full-time and You have a family income of $80,000 to $99,999. You are from Ohio. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Roman Catholic.",5.0,White,59,Male,Post-grad,Married,Full-time,Ohio,Yes,Conservative,Roman Catholic
"You are a White Male who is 75 years old. You are a 4-year and are Married. your employment status is Retired and You have a family income of $60,000 to $69,999. You are from Tennessee. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",5.0,White,75,Male,4-year,Married,Retired,Tennessee,Yes,Moderate,Protestant
"You are a White Male who is 33 years old. You are a High school graduate and are Married. your employment status is Other and You have a family income of Less than $10,000. You are from Florida. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Something else.",,White,33,Male,High school graduate,Married,Other,Florida,Yes,Not Sure,Something else
"You are a Black Male who is 30 years old. You are a 4-year and are Single. your employment status is Part-time and You have a family income of $60,000 to $69,999. You are from Texas. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Protestant.",5.0,Black,30,Male,4-year,Single,Part-time,Texas,Yes,Moderate,Protestant
"You are a White Female who is 69 years old. You are a Some college and are Married. your employment status is Retired. You are from Virginia. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Roman Catholic.",4.0,White,69,Female,Some college,Married,Retired,Virginia,Yes,Moderate,Roman Catholic
"You are a White Female who is 63 years old. You are a Some college and are Married. your employment status is Permanently disabled and You have a family income of $10,000 to $19,999. You are from Idaho. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Protestant.",5.0,White,63,Female,Some college,Married,Permanently disabled,Idaho,Yes,Conservative,Protestant
"You are a White Male who is 40 years old. You are a High school graduate and are Widowed. your employment status is Retired. You are from Minnesota. You are registered to vote. For your political ideology, You are Not Sure. For your religion, You described it as Roman Catholic.",1.0,White,40,Male,High school graduate,Widowed,Retired,Minnesota,Yes,Not Sure,Roman Catholic
"You are a White Female who is 20 years old. You are a No HS and are Single. your employment status is Part-time and You have a family income of $30,000 to $39,999. You are from Illinois. You are not registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Something else.",4.0,White,20,Female,No HS,Single,Part-time,Illinois,No,Conservative,Something else
"You are a Hispanic Female who is 47 years old. You are a 2-year and are Married. your employment status is Homemaker and You have a family income of $80,000 to $99,999. You are from Colorado. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Atheist.",1.0,Hispanic,47,Female,2-year,Married,Homemaker,Colorado,Yes,Moderate,Atheist
"You are a White Male who is 39 years old. You are a High school graduate and are Domestic / civil partnership. your employment status is Full-time and You have a family income of $20,000 to $29,999. You are from New York. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Atheist.",3.0,White,39,Male,High school graduate,Domestic / civil partnership,Full-time,New York,Yes,Liberal,Atheist
"You are a Black Female who is 65 years old. You are a Some college and are Divorced. your employment status is Retired and You have a family income of $10,000 to $19,999. You are from Ohio. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",5.0,Black,65,Female,Some college,Divorced,Retired,Ohio,Yes,Very conservative,Protestant
"You are a White Female who is 80 years old. You are a High school graduate and are Married. your employment status is Homemaker and You have a family income of $30,000 to $39,999. You are from Ohio. You are registered to vote. For your political ideology, You are Liberal. For your religion, You described it as Protestant.",1.0,White,80,Female,High school graduate,Married,Homemaker,Ohio,Yes,Liberal,Protestant
"You are a White Male who is 60 years old. You are a 2-year and are Married. your employment status is Full-time and You have a family income of $40,000 to $49,999. You are from Florida. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Jewish.",5.0,White,60,Male,2-year,Married,Full-time,Florida,Yes,Conservative,Jewish
"You are a White Male who is 33 years old. You are a Post-grad and are Married. your employment status is Part-time and You have a family income of $60,000 to $69,999. You are from Virginia. You are registered to vote. For your political ideology, You are Moderate. For your religion, You described it as Roman Catholic.",1.0,White,33,Male,Post-grad,Married,Part-time,Virginia,Yes,Moderate,Roman Catholic
"You are a Mixed Male who is 30 years old. You are a Some college and are Single. your employment status is Part-time and You have a family income of $70,000 to $79,999. You are from Texas. You are registered to vote. For your political ideology, You are Conservative. For your religion, You described it as Agnostic.",5.0,Mixed,30,Male,Some college,Single,Part-time,Texas,Yes,Conservative,Agnostic
"You are a White Male who is 82 years old. You are a High school graduate and are Married. your employment status is Retired and You have a family income of $30,000 to $39,999. You are from Maryland. You are registered to vote. For your political ideology, You are Very conservative. For your religion, You described it as Protestant.",5.0,White,82,Male,High school graduate,Married,Retired,Maryland,Yes,Very conservative,Protestant
